Date,Open,High,Low,Close,Volume,Adj Close
2015-02-13,141.369995,141.740005,140.679993,141.050003,1446300,135.429295
2015-02-12,142.559998,142.559998,140.779999,142.00,1515800,136.341436
2015-02-11,138.600006,141.720001,138.559998,141.490005,2104400,135.851764
2015-02-10,136.380005,139.039993,135.610001,138.740005,2100200,133.211349
2015-02-09,134.789993,135.690002,134.380005,134.880005,1744400,129.505166
2015-02-06,136.949997,137.229996,135.089996,135.690002,2244600,130.282886
2015-02-05,135.50,138.369995,135.399994,137.229996,2314600,131.761512
2015-02-04,136.490005,138.669998,135.399994,137.649994,1674500,132.164773
2015-02-03,136.080002,137.240005,135.50,136.960007,1709700,131.502282
2015-02-02,134.960007,135.589996,132.940002,135.50,1819000,130.100455
