Date,Open,High,Low,Close,Volume,Adj Close
2015-10-12,39.66,40.57,39.52,40.529999,1114100,40.529999
2015-10-09,39.450001,39.959999,39.450001,39.610001,2063500,39.610001
2015-10-08,40.360001,40.360001,39.349998,39.560001,3530500,39.560001
2015-10-07,40.810001,40.990002,39.639999,40.369999,3160200,40.369999
2015-10-06,41.00,41.380001,40.400002,40.650002,2699300,40.650002
2015-10-05,40.869999,41.490002,40.650002,40.959999,2123900,40.959999
2015-10-02,39.779999,40.720001,38.200001,40.700001,4610000,40.700001
2015-10-01,39.950001,40.639999,39.50,40.130001,2469700,40.130001
2015-09-30,40.07,40.279999,39.099998,39.810001,4168800,39.810001
2015-09-29,40.599998,40.93,39.00,39.560001,4196500,39.560001
