Date,Open,High,Low,Close,Volume,Adj Close
2016-04-05,54.380001,54.490002,53.950001,54.09,12979100,51.227071
2016-04-04,54.029999,54.419998,53.799999,54.419998,11402700,51.539603
2016-04-01,53.32,54.09,53.099998,54.009998,13807100,51.151304
2016-03-31,54.009998,54.259998,53.919998,54.080002,12428600,51.217602
2016-03-30,54.169998,54.369999,53.700001,54.040001,14528300,51.179719
2016-03-29,53.509998,54.080002,53.299999,54.049999,10770500,51.189188
2016-03-28,53.560001,53.73,53.200001,53.400002,8527100,50.573594
2016-03-24,52.740002,53.619999,52.66,53.560001,15096400,50.725125
2016-03-23,53.130001,53.23,52.82,52.91,9716100,50.109527
2016-03-22,53.419998,53.459999,53.099998,53.209999,10852000,50.393648
